order_id,order_date,customer,region,quantity,revenue,load_timestamp
ORD1001,2026-08-01,Acme Corp,US-East,3,450.00,2026-08-02T10:00:00Z
ORD1002,2026-08-01,Beta LLC,US-West,1,120.50,2026-08-02T10:05:00Z
ORD1003,2026-08-01,Gamma Inc,EU-West,5,980.00,2026-08-02T10:10:00Z
ORD1004,2026-08-02,Delta Co,APAC,2,300.00,2026-08-02T11:00:00Z
ORD1005,2026-08-02,Epsilon Ltd,US-East,4,610.25,2026-08-02T11:15:00Z
ORD1006,2026-08-02,Zeta Group,,1,89.99,2026-08-02T11:30:00Z
ORD1007,2026-08-02,Eta Partners,EU-Central,2,-45.00,2026-08-02T12:00:00Z
ORD1008,2026-08-03,Theta LLC,US-West,6,1200.00,2026-07-31T09:00:00Z
ORD1009,2026-08-03,Iota Inc,US-East,3,275.50,2026-08-03T08:00:00Z
ORD1010,2026-08-03,Kappa Co,APAC,1,65.00,2026-08-03T08:15:00Z
ORD1010,2026-08-03,Kappa Co,APAC,1,65.00,2026-08-03T08:15:00Z
ORD1011,2026-08-03,Lambda Ltd,EU-West,2,410.00,2026-08-03T09:00:00Z
